2023-12-19 12:45:20,903 - cli.py - This is Paynt version 0.1.0.
2023-12-19 12:45:20,903 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/avoid/5-2/sketch.templ ...
2023-12-19 12:45:20,903 - sketch.py - assuming sketch in PRISM format...
2023-12-19 12:45:20,906 - prism_parser.py - PRISM model type: MDP
2023-12-19 12:45:20,906 - prism_parser.py - processing hole definitions...
2023-12-19 12:45:20,906 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/avoid/5-2/sketch.props ...
2023-12-19 12:45:20,907 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 5) & (y = 5))]; 
2023-12-19 12:45:20,907 - jani.py - constructing JANI program...
2023-12-19 12:45:20,909 - jani.py - constructing the quotient...
2023-12-19 12:45:20,973 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 12:45:21,002 - sketch.py - sketch parsing OK
2023-12-19 12:45:21,003 - sketch.py - constructed explicit quotient having 13061 states and 41960 actions
2023-12-19 12:45:21,003 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 5) & (y = 5))]; 
2023-12-19 12:45:21,009 - mdp_family.py - associating choices with action labels...
2023-12-19 12:45:21,087 - synthesizer.py - evaluation initiated, design space: 2500
2023-12-19 12:45:21,100 - smt.py - using Python Z3 for SMT solving.
> Progress 1.28%, elapsed 3 s, estimated 234 s, iters = {MDP: 33}
> Progress 2.48%, elapsed 6 s, estimated 244 s, iters = {MDP: 63}
> Progress 3.719%, elapsed 9 s, estimated 244 s, iters = {MDP: 94}
> Progress 4.92%, elapsed 12 s, estimated 246 s, iters = {MDP: 124}
> Progress 5.88%, elapsed 15 s, estimated 259 s, iters = {MDP: 148}
> Progress 6.8%, elapsed 18 s, estimated 269 s, iters = {MDP: 171}
> Progress 7.72%, elapsed 21 s, estimated 277 s, iters = {MDP: 194}
> Progress 8.6%, elapsed 24 s, estimated 285 s, iters = {MDP: 216}
> Progress 9.64%, elapsed 27 s, estimated 286 s, iters = {MDP: 242}
> Progress 10.6%, elapsed 30 s, estimated 289 s, iters = {MDP: 266}
> Progress 11.8%, elapsed 33 s, estimated 286 s, iters = {MDP: 296}
> Progress 12.72%, elapsed 36 s, estimated 290 s, iters = {MDP: 319}
> Progress 13.68%, elapsed 40 s, estimated 292 s, iters = {MDP: 343}
> Progress 14.599%, elapsed 43 s, estimated 295 s, iters = {MDP: 366}
> Progress 15.44%, elapsed 46 s, estimated 299 s, iters = {MDP: 387}
> Progress 16.28%, elapsed 49 s, estimated 302 s, iters = {MDP: 408}
> Progress 17.12%, elapsed 52 s, estimated 305 s, iters = {MDP: 429}
> Progress 18.2%, elapsed 55 s, estimated 304 s, iters = {MDP: 456}
> Progress 19.2%, elapsed 58 s, estimated 304 s, iters = {MDP: 481}
> Progress 20.28%, elapsed 61 s, estimated 303 s, iters = {MDP: 508}
> Progress 21.48%, elapsed 64 s, estimated 300 s, iters = {MDP: 538}
> Progress 22.28%, elapsed 67 s, estimated 303 s, iters = {MDP: 558}
> Progress 23.12%, elapsed 70 s, estimated 305 s, iters = {MDP: 579}
> Progress 24.12%, elapsed 73 s, estimated 306 s, iters = {MDP: 604}
> Progress 24.96%, elapsed 76 s, estimated 308 s, iters = {MDP: 625}
> Progress 26.079%, elapsed 80 s, estimated 307 s, iters = {MDP: 653}
> Progress 27.0%, elapsed 83 s, estimated 308 s, iters = {MDP: 676}
> Progress 27.88%, elapsed 86 s, estimated 309 s, iters = {MDP: 698}
> Progress 28.84%, elapsed 89 s, estimated 309 s, iters = {MDP: 722}
> Progress 29.72%, elapsed 92 s, estimated 310 s, iters = {MDP: 744}
> Progress 30.6%, elapsed 95 s, estimated 312 s, iters = {MDP: 766}
> Progress 31.64%, elapsed 98 s, estimated 311 s, iters = {MDP: 792}
> Progress 32.52%, elapsed 101 s, estimated 312 s, iters = {MDP: 814}
> Progress 33.32%, elapsed 104 s, estimated 314 s, iters = {MDP: 834}
> Progress 34.24%, elapsed 107 s, estimated 315 s, iters = {MDP: 857}
> Progress 35.4%, elapsed 110 s, estimated 313 s, iters = {MDP: 886}
> Progress 36.36%, elapsed 114 s, estimated 313 s, iters = {MDP: 910}
> Progress 37.4%, elapsed 117 s, estimated 313 s, iters = {MDP: 936}
> Progress 38.36%, elapsed 120 s, estimated 313 s, iters = {MDP: 960}
> Progress 39.12%, elapsed 123 s, estimated 315 s, iters = {MDP: 979}
> Progress 39.88%, elapsed 126 s, estimated 316 s, iters = {MDP: 998}
> Progress 40.76%, elapsed 129 s, estimated 317 s, iters = {MDP: 1020}
> Progress 41.68%, elapsed 132 s, estimated 318 s, iters = {MDP: 1043}
> Progress 42.52%, elapsed 135 s, estimated 319 s, iters = {MDP: 1064}
> Progress 43.28%, elapsed 138 s, estimated 320 s, iters = {MDP: 1083}
