2024-01-08 19:14:06,413 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:14:06,413 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dodge/8-mod2-stagger-30/sketch.templ ...
2024-01-08 19:14:06,413 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:14:06,416 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:14:06,416 - prism_parser.py - processing hole definitions...
2024-01-08 19:14:06,416 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dodge/8-mod2-stagger-30/sketch.props ...
2024-01-08 19:14:06,417 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 8) & (y = 8))]; 
2024-01-08 19:14:06,417 - jani.py - constructing JANI program...
2024-01-08 19:14:06,421 - jani.py - constructing the quotient...
2024-01-08 19:14:07,562 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:14:08,053 - sketch.py - sketch parsing OK
2024-01-08 19:14:08,053 - sketch.py - constructed explicit quotient having 149659 states and 723570 actions
2024-01-08 19:14:08,053 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 8) & (y = 8))]; 
2024-01-08 19:14:08,367 - mdp_family.py - associating choices with action labels...
2024-01-08 19:14:09,339 - synthesizer.py - evaluation initiated, design space: 30000
> Progress 0.286%, elapsed 3 s, estimated 1059 s, iters = {MDP: 87}
> Progress 0.666%, elapsed 6 s, estimated 907 s, iters = {MDP: 201}
> Progress 1.013%, elapsed 9 s, estimated 894 s, iters = {MDP: 305}
> Progress 1.403%, elapsed 12 s, estimated 860 s, iters = {MDP: 422}
> Progress 1.84%, elapsed 15 s, estimated 819 s, iters = {MDP: 553}
> Progress 2.22%, elapsed 18 s, estimated 815 s, iters = {MDP: 667}
> Progress 2.536%, elapsed 21 s, estimated 833 s, iters = {MDP: 762}
> Progress 2.916%, elapsed 24 s, estimated 828 s, iters = {MDP: 876}
> Progress 3.25%, elapsed 27 s, estimated 835 s, iters = {MDP: 976}
> Progress 3.61%, elapsed 30 s, estimated 835 s, iters = {MDP: 1084}
> Progress 3.99%, elapsed 33 s, estimated 831 s, iters = {MDP: 1198}
> Progress 4.323%, elapsed 36 s, estimated 837 s, iters = {MDP: 1298}
> Progress 4.62%, elapsed 39 s, estimated 848 s, iters = {MDP: 1387}
> Progress 4.956%, elapsed 42 s, estimated 851 s, iters = {MDP: 1488}
> Progress 5.296%, elapsed 45 s, estimated 854 s, iters = {MDP: 1590}
> Progress 5.653%, elapsed 48 s, estimated 853 s, iters = {MDP: 1697}
> Progress 5.96%, elapsed 51 s, estimated 860 s, iters = {MDP: 1789}
> Progress 6.303%, elapsed 54 s, estimated 861 s, iters = {MDP: 1892}
> Progress 6.596%, elapsed 57 s, estimated 868 s, iters = {MDP: 1980}
> Progress 6.946%, elapsed 60 s, estimated 868 s, iters = {MDP: 2085}
> Progress 7.283%, elapsed 63 s, estimated 869 s, iters = {MDP: 2186}
> Progress 7.613%, elapsed 66 s, estimated 871 s, iters = {MDP: 2285}
> Progress 7.973%, elapsed 69 s, estimated 869 s, iters = {MDP: 2393}
> Progress 8.34%, elapsed 72 s, estimated 867 s, iters = {MDP: 2503}
> Progress 8.61%, elapsed 75 s, estimated 875 s, iters = {MDP: 2584}
> Progress 8.973%, elapsed 78 s, estimated 873 s, iters = {MDP: 2693}
> Progress 9.36%, elapsed 81 s, estimated 869 s, iters = {MDP: 2809}
> Progress 9.716%, elapsed 84 s, estimated 869 s, iters = {MDP: 2916}
> Progress 10.076%, elapsed 87 s, estimated 867 s, iters = {MDP: 3024}
> Progress 10.47%, elapsed 90 s, estimated 864 s, iters = {MDP: 3142}
> Progress 10.846%, elapsed 93 s, estimated 862 s, iters = {MDP: 3255}
> Progress 11.26%, elapsed 96 s, estimated 857 s, iters = {MDP: 3379}
> Progress 11.583%, elapsed 99 s, estimated 859 s, iters = {MDP: 3476}
> Progress 11.96%, elapsed 102 s, estimated 857 s, iters = {MDP: 3589}
> Progress 12.306%, elapsed 105 s, estimated 857 s, iters = {MDP: 3693}
> Progress 12.659%, elapsed 108 s, estimated 857 s, iters = {MDP: 3799}
> Progress 12.91%, elapsed 111 s, estimated 864 s, iters = {MDP: 3874}
> Progress 13.216%, elapsed 114 s, estimated 867 s, iters = {MDP: 3966}
> Progress 13.476%, elapsed 117 s, estimated 872 s, iters = {MDP: 4044}
> Progress 13.753%, elapsed 120 s, estimated 877 s, iters = {MDP: 4127}
> Progress 14.263%, elapsed 123 s, estimated 867 s, iters = {MDP: 4280}
> Progress 14.673%, elapsed 126 s, estimated 863 s, iters = {MDP: 4403}
> Progress 14.91%, elapsed 129 s, estimated 869 s, iters = {MDP: 4474}
> Progress 15.226%, elapsed 132 s, estimated 871 s, iters = {MDP: 4569}
> Progress 15.526%, elapsed 135 s, estimated 874 s, iters = {MDP: 4659}
> Progress 15.84%, elapsed 138 s, estimated 876 s, iters = {MDP: 4753}
> Progress 16.16%, elapsed 141 s, estimated 877 s, iters = {MDP: 4849}
> Progress 16.496%, elapsed 144 s, estimated 877 s, iters = {MDP: 4950}
> Progress 16.816%, elapsed 147 s, estimated 879 s, iters = {MDP: 5046}
> Progress 17.01%, elapsed 150 s, estimated 887 s, iters = {MDP: 5104}
> Progress 17.316%, elapsed 153 s, estimated 889 s, iters = {MDP: 5196}
> Progress 17.583%, elapsed 156 s, estimated 892 s, iters = {MDP: 5276}
> Progress 17.873%, elapsed 159 s, estimated 895 s, iters = {MDP: 5363}
> Progress 18.13%, elapsed 162 s, estimated 898 s, iters = {MDP: 5440}
> Progress 18.546%, elapsed 165 s, estimated 895 s, iters = {MDP: 5565}
> Progress 18.91%, elapsed 169 s, estimated 893 s, iters = {MDP: 5674}
> Progress 19.156%, elapsed 172 s, estimated 897 s, iters = {MDP: 5748}
> Progress 19.436%, elapsed 175 s, estimated 900 s, iters = {MDP: 5832}
> Progress 19.75%, elapsed 178 s, estimated 901 s, iters = {MDP: 5926}
> Progress 20.09%, elapsed 181 s, estimated 901 s, iters = {MDP: 6028}
> Progress 20.433%, elapsed 184 s, estimated 900 s, iters = {MDP: 6131}
> Progress 20.776%, elapsed 187 s, estimated 900 s, iters = {MDP: 6234}
> Progress 21.053%, elapsed 190 s, estimated 903 s, iters = {MDP: 6317}
> Progress 21.313%, elapsed 193 s, estimated 906 s, iters = {MDP: 6395}
> Progress 21.653%, elapsed 196 s, estimated 906 s, iters = {MDP: 6497}
> Progress 21.966%, elapsed 199 s, estimated 906 s, iters = {MDP: 6591}
> Progress 22.243%, elapsed 202 s, estimated 909 s, iters = {MDP: 6674}
> Progress 22.506%, elapsed 205 s, estimated 912 s, iters = {MDP: 6753}
> Progress 22.983%, elapsed 208 s, estimated 906 s, iters = {MDP: 6896}
> Progress 23.236%, elapsed 211 s, estimated 909 s, iters = {MDP: 6972}
> Progress 23.633%, elapsed 214 s, estimated 907 s, iters = {MDP: 7091}
> Progress 24.016%, elapsed 217 s, estimated 905 s, iters = {MDP: 7206}
> Progress 24.396%, elapsed 220 s, estimated 903 s, iters = {MDP: 7320}
> Progress 24.7%, elapsed 223 s, estimated 904 s, iters = {MDP: 7411}
> Progress 25.106%, elapsed 226 s, estimated 902 s, iters = {MDP: 7533}
> Progress 25.426%, elapsed 229 s, estimated 902 s, iters = {MDP: 7629}
> Progress 25.776%, elapsed 232 s, estimated 902 s, iters = {MDP: 7734}
> Progress 26.023%, elapsed 235 s, estimated 905 s, iters = {MDP: 7808}
> Progress 26.363%, elapsed 238 s, estimated 905 s, iters = {MDP: 7910}
> Progress 26.753%, elapsed 241 s, estimated 903 s, iters = {MDP: 8027}
> Progress 27.13%, elapsed 244 s, estimated 901 s, iters = {MDP: 8140}
> Progress 27.403%, elapsed 247 s, estimated 903 s, iters = {MDP: 8222}
> Progress 27.72%, elapsed 250 s, estimated 904 s, iters = {MDP: 8317}
> Progress 28.023%, elapsed 253 s, estimated 905 s, iters = {MDP: 8408}
> Progress 28.26%, elapsed 256 s, estimated 908 s, iters = {MDP: 8479}
> Progress 28.583%, elapsed 259 s, estimated 908 s, iters = {MDP: 8576}
> Progress 28.923%, elapsed 262 s, estimated 908 s, iters = {MDP: 8678}
> Progress 29.25%, elapsed 265 s, estimated 908 s, iters = {MDP: 8776}
> Progress 29.52%, elapsed 268 s, estimated 910 s, iters = {MDP: 8857}
> Progress 29.859%, elapsed 271 s, estimated 910 s, iters = {MDP: 8959}
> Progress 30.143%, elapsed 274 s, estimated 911 s, iters = {MDP: 9044}
> Progress 30.44%, elapsed 277 s, estimated 912 s, iters = {MDP: 9133}
> Progress 30.743%, elapsed 280 s, estimated 913 s, iters = {MDP: 9224}
> Progress 31.096%, elapsed 283 s, estimated 912 s, iters = {MDP: 9330}
> Progress 31.423%, elapsed 286 s, estimated 913 s, iters = {MDP: 9428}
> Progress 31.71%, elapsed 289 s, estimated 914 s, iters = {MDP: 9514}
> Progress 32.023%, elapsed 292 s, estimated 914 s, iters = {MDP: 9608}
> Progress 32.329%, elapsed 295 s, estimated 915 s, iters = {MDP: 9700}
